Product_ID,Title,Link,Category,Label_Trend,Label_Marketing,Rating,Sold,Original_Price,Current_Price,Discount_Percent
1732073728426477790,Áo Khoác Vải Nỉ Bông Thêu NQ Phom Rong Túi Trong 2 Túi Ngoài Nón To Chất Liệu Vải NĨ Mát Thư Gi Ý Design Đơn Giản Phù Hợp Nhiều Hoàn Cảnh 4 Túi Tiện Lợi,https://www.tiktok.com/shop/vn/pdp/ao-khoac-vai-ni-bong-phom-rong-tui-trong-ngoai-mu-lon/1732073728426477790,Womenswear & Underwear,Xu hướng,Không,4.7,14.9K,N/A,99.000,0%
1733047421466019404,Áo nỉ tròn sweater nam nữ form rộng chất nỉ bông in hình tym nhỏ,https://www.tiktok.com/shop/vn/pdp/1733047421466019404,Womenswear & Underwear,Xu hướng,Không,4.4,2.6K,95.000₫,59.000,-38%
1732334447568127818,"Áo Thun Nữ Dài Tay Ôm Body JUSTDUN 405 - Phối Viền Bèo Xinh, Cotton Mịn Cao Cấp, Tôn Dáng",https://www.tiktok.com/shop/vn/pdp/ao-thun-dai-tay-nu-om-body-justdun-405-cotton-long-min-vien-beo-xinh-ton-dang-phong-cach-thoi-trang/1732334447568127818,Womenswear & Underwear,Xu hướng,Deal,4.8,83.6K,139.000₫,69.899,-50%
1731935384217422671,"[AS502] [SIZE 32-40] [MÚT 3 & 5CM] Áo Lót Nữ Đúc Su Mút Dày 3 & 5CM Không Gọng Mềm Mại Thoải Mái Nâng Đẩy Vòng 1, Áo Ngực Đệm Dày Tạo Khe Vòng 1",https://www.tiktok.com/shop/vn/pdp/ao-lot-nu-as502-su-mut-day-3-5cm-nang-%C4%91ay-vong-1-thoai-mai-chat-lieu-cotton-mem-mai-thiet-ke-om/1731935384217422671,Womenswear & Underwear,Xu hướng,Flash Sale,4.6,214.1K,70.000₫,38.999,-44%
1733709747693323524,"Áo dài đi Tết, Set Áo Dài Lông Vũ Kèm Quần Cách Điệu Hiện Đại, Trẻ Trung Cho Nàng- Thời Trang Nữ Shop Tina Fashion",https://www.tiktok.com/shop/vn/pdp/1733709747693323524,Womenswear & Underwear,Không,Không,4.1,198,195.000₫,191.100,-2%
1733461974947891083,(Mua 2 váy tặng kèm 1 đai) Chân Váy Dạ Ép Basic Phom Chữ A Xuông Dài 90 cm Chất Dạ Ép Dài Xẻ Sau Nhà Hanna Shop Store,https://www.tiktok.com/shop/vn/pdp/1733461974947891083,Womenswear & Underwear,Xu hướng,Flash Sale,4.4,3.4K,N/A,39.000,0%
1731553994134292438,Set Ngủ Cộc Đùi Cánh Dơi LTB (1-4),https://www.tiktok.com/shop/vn/pdp/set-ngu-coc-%C4%91ui-canh-doi-ltb-thiet-ke-thoi-trang-tien-ich/1731553994134292438,Womenswear & Underwear,Không,Không,4.7,18.6K,155.000₫,139.500,-10%
1729719592225704232,3 Áo Lót Nữ Cup Ngang Đệm Bàn Tay 3 Phân Không Gọng Đệm Êm Mềm Màu Sắc Nhẹ Nhàng Top Bra Áo Ngực Women,https://www.tiktok.com/shop/vn/pdp/ao-lot-nu-cup-ngang-%C4%91em-ban-tay-3-phan-mem-mai-size-%C4%91a-dang/1729719592225704232,Womenswear & Underwear,Xu hướng,Không,4.7,72.5K,210.000₫,129.000,-39%
1731810965688452601,"Quần Ống Suông Vải Kẻ Sọc Chỉ ,Dáng suông Hack dáng Biggsize từ 46-85 kí.",https://www.tiktok.com/shop/vn/pdp/quan-ong-suong-vai-ke-soc-chi-tui-%C4%91ien-thoai-cap-thun-co-dan/1731810965688452601,Womenswear & Underwear,Không,Không,4.7,15.1K,N/A,69.999,0%
1732816691696534849,Áo Khoác Canvas Dáng Ngắn Áo Khoác Phối Cổ Nhung Tăm Basic Unisex Nam Nữ,https://www.tiktok.com/shop/vn/pdp/ao-khoac-canvas-dang-ngan-ao-khoac-phoi-co-nhung-tam-basic-unisex-nam-nu/1732816691696534849,Womenswear & Underwear,Không,Không,4.8,3.8K,360.000₫,298.996,-17%
